Youngs_dyn;Poro;Youngs_st;Age
39.93;15.852;17.90086;Bash
53.08;6.786;22.69629;Bash
42.89;20.503;13.6194;Bash
25.19;14.463;7.79011;Bash
42.68;17.63;18.30466;Bash
57.05;5.136;25.2189;Bash
68.68;2.734;27.0928;Bash
28.04;21.016;11.98788;Bash
65.11;5.33;25.46642;Bash
49.21;8.898;17.05574;Bash
42.37;15.797;13.06274;Bash
71.6;1.336;25.39111;Bash
71.16;0.395;26.55014;Bash
26.56;18.319;6.56484;Bash
54.79;21.206;14.64966;Bash
73.35;0.559;28.16652;Bash
26.82;28.029;9.40871;Bash
31.76;16.24;8.21861;Bash
27.83;24.634;7.58145;Bash
27.68;23.064;7.55973;Bash
34.44;10.748;10.56439;Bash
39.64;8.439;8.19007;Bash
68.99;10.038;31.20694;Bash
38.4;19.586;12.90342;Bash
59.61;6.726;16.72872;Bash
64.2;3.79;25.21422;Bash
37.7;6.205;10.81984;Bash
30.2;22.4;6.54786;Bash
40.17;11.277;9.10312;Bash
65.73;0.8;25.21977;Bash
48.37;4.636;20.27323;Bash
35.99;20.613;7.13016;Bash
56.02;6.249;16.68251;Bash
57.21;6.119;25.2181;Bash
65.79;1.889;22.91622;Bash
38.01;25.519;14.81305;Bash
50.98;9.122;16.90792;Bash
60.96;13.612;25.85656;Bash
44.45;6.119;15.48523;Verey
51.77;6.388;19.14729;Verey
64.98;1.395;29.56845;Verey
47.9;4.426;11.23342;Verey
39.16;9.875;12.21014;Verey
19.66;17.236;8.48652;Verey
71.02;5.709;22.70178;Verey
37.6;9.094;8.61425;Verey
71.5;0.697;29.72946;Verey
45.79;3.97;19.56935;Verey
46.91;14.677;11.86146;Verey
25.22;23.96;9.3155;Tourn
64.14;0.73;21.474;Tourn
41.16;11.57;17.207;Tourn
42.34;10.23;18.592;Tourn
51.29;0.76;23.008;Tourn
40.96;17.22;18.192;Tourn
58.61;8.83;23.164;Tourn
36.85;15.93;12.69;Tourn
40.36;13.32;18.788;Tourn
35.16;15.7;12.211;Tourn
39.05;14.86;15.931;Tourn
34.49;16.86;13.562;Tourn
69.74;0.68;25.925;Tourn
62.48;0.73;23.509;Tourn
41.89;16.41;13.716;Tourn
62.83;0.87;23.595;Tourn
38.41;17.21;11.777;Tourn
24.87;12.66;7.7468;Tourn
54.49;1.48;19.307;Tourn
40.84;12.56;15.894;Tourn
32.86;;17.3;Verey
35.93;;18.99;Verey
36.78;;19.65;Verey
36.98;;20.81;Verey
36.59;;18.3;Verey
46.58;;20.91;Verey
38.33;;18;Verey
60.4;;26.15;Verey
68.09;;35.4;Verey
45.71;;25.99;Verey
69.32;;37.48;Verey
48.98;;17.36;Verey
28.95;;12.4;Verey
42.48;;19.89;Verey
73.54;;31.1;Verey
37.14;;15.28;Verey
33.13;;21.52;Verey
47.86;;16.421;Tourn
47.32;;15.584;Tourn
41.27;;13.714;Tourn
70.76;;30.991;Bash
44.45;;15.48523;Bash
51.77;;19.14729;Bash
64.98;;29.56845;Bash
47.9;;11.23342;Bash
39.16;;12.21014;Bash
19.66;;8.48652;Bash
71.02;;22.70178;Bash
37.6;;8.61425;Bash
71.5;;29.72946;Bash
45.79;;19.56935;Bash
46.91;;11.86146;Bash
